Supplier Name,Location,Category,Product,Transportation Mode,Transportation Route,Distribution Network,Emission Intensity (kg CO2/unit),Total Emissions (ton CO2),Fuel Consumption (liters),Energy Consumption (GJ),Sustainability Rating,Regulatory Impact,Year
Stellar Solutions,South Korea,Commercial,Shredder,Truck,Tokyo Narita Airport,Wholesalers,9.78,26.75,9905.45,972.6,6.7,Medium,2021
Ascend Supply Chain,Bangladesh,Commercial,Desk Chair,Air,LAX Airport,Wholesalers,13.31,21.21,552.81,593.89,7.2,Medium,2023
Spectrum Supplies,Japan,Electric,Electric Heater,Truck,Port of Rotterdam,Warehouses,11.27,7.79,1007.11,64.64,6.3,High,2022
Horizon Supplies,Netherlands,Transportation,Car Battery,Ship,Interstate 40 (I-40),Suppliers,4.07,48.46,9999.71,967.4,7.7,High,2023
Celestial Resources,Ireland,Industrial,Forklift,Train,Interstate 20 (I-20),Manufacturers,3.3,15.54,316.38,455.04,5.3,Low,2019
Vertex Supply Partners,Saudi Arabia,Residential,Dishwasher,Train,Eurostar Brussels-London,Logistics,8.21,22.66,4446,670.73,3.7,Medium,2018
Summit Procurement,Thailand,Electric,Wall Socket,Ship,Port of Hong Kong,Warehouses,4.92,23.69,2940.36,490.79,6.5,Medium,2020
Pinnacle Trading Co.,Singapore,Industrial,Forklift,Air,Port of Zeebrugge,Suppliers,16.8,45.27,6628.5,683.26,7.4,High,2023
Nova Enterprises,Philippines,Electric,Extension Cord,Train,Port of New York and New Jersey,Suppliers,8.92,28,5265.14,314.08,6.9,Medium,2018
Stellar Supply Co.,Malaysia,Electric,Smart Plug,Truck,Port of Valencia,Retailers,11.91,45.66,4415.18,205.52,4.5,Low,2021
Aurora Logistics,Hungary,Electric,Surge Protector,Train,Port of Los Angeles,Retailers,13,48.64,5297.34,152.02,5.7,Low,2023
Atlas Trading Co.,Singapore,Transportation,Brake Pad,Air,Interstate 80 (I-80),Retailers,9.08,10.22,7044.9,223.89,6.6,High,2020
Pinnacle Resources,Peru,Transportation,Brake Pad,Ship,Paris Charles de Gaulle Airport,Retailers,4.09,43.55,6556.59,426.76,4.8,Medium,2021
Quantum Distributors,Colombia,Industrial,Welding Machine,Train,Eurostar Brussels-London,Manufacturers,16.67,34.38,9921.12,445.38,4.3,Low,2022
Pinnacle Resources,Peru,Commercial,File Cabinet,Train,Amsterdam Airport Schiphol,Warehouses,8.97,29.11,5218.69,928.82,6,High,2023
Nova Enterprises,Philippines,Electric,Smart Plug,Train,Interstate 15 (I-15),Manufacturers,15.15,36.38,8242.99,841.54,7.1,High,2020
Vertex Industries,Turkey,Transportation,Shock Absorber,Ship,Eurostar London-Paris,Wholesalers,18.42,10.18,433.49,614.83,7.2,High,2018
Atlas Trading Co.,Singapore,Commercial,File Cabinet,Ship,London Heathrow Airport,Warehouses,17.99,37.21,1457.28,704.06,5.2,High,2019
Stellar Solutions,South Korea,Electric,Surge Protector,Truck,Port of Santos,Wholesalers,1.86,16.39,223.61,323.7,10,Medium,2023
Pinnacle Trading Co.,Singapore,Electric,Extension Cord,Train,Interstate 25 (I-25),Suppliers,1.99,36.31,8935.49,791.45,6.4,Low,2020
Atlas Trading Co.,Singapore,Industrial,Hydraulic Pump,Truck,Interstate 10 (I-10),Warehouses,13.87,12.78,7950.96,990.37,6.3,Low,2019
Elevation Supply Chain,Portugal,Commercial,Conference Table,Ship,Schiphol Airport,Logistics,2.82,14.8,3890.85,791.58,4.4,Low,2020
Aurora Trade Partners,United Kingdom,Industrial,CNC Machine,Truck,Port of Jebel Ali,Retailers,7.7,5.46,9402.99,288.28,5,Medium,2019
Infinity Logistics,Malaysia,Transportation,GPS System,Ship,Interstate 85 (I-85),Logistics,11.98,16.31,7252.31,982.06,6.2,Medium,2021
Spectrum Enterprises,France,Electric,Power Strip,Train,Port of Valencia,Warehouses,16.19,21.86,4636.64,668.28,5.4,Medium,2020
Radiant Traders,Venezuela,Commercial,Cubicle Partition,Air,Interstate 35 (I-35),Retailers,6.97,9.03,1352.8,330.87,7.5,Medium,2022
Summit Distribution,Poland,Transportation,Air Filter,Train,Port of New York and New Jersey,Logistics,6.15,36.41,313.4,119.91,6,Low,2022
Spectrum Trading Solutions,Mexico,Transportation,Alternator,Truck,Amtrak Acela Express,Manufacturers,17.97,21.58,807.95,56.42,8.6,Medium,2021
Infinity Traders,Norway,Electric,Battery Charger,Air,Shinkansen Tokyo-Osaka,Manufacturers,10.38,48.58,8305.96,656.65,3.6,Medium,2018
Vertex Industries,Turkey,Industrial,CNC Machine,Train,Tokyo Narita Airport,Manufacturers,9.7,45.05,6564.28,411.5,7,Low,2020
Spectrum Trading Solutions,Mexico,Electric,Wall Socket,Truck,Interstate 20 (I-20),Manufacturers,18.56,30.6,1931.28,316.06,6.5,Medium,2021
Aurora Trade Partners,United Kingdom,Commercial,Cubicle Partition,Air,Interstate 80 (I-80),Manufacturers,16.14,49,6287.48,462.04,4.9,Medium,2020
Zenith Logistics,Brazil,Transportation,Radiator,Train,Interstate 90 (I-90),Retailers,3.72,33.5,2739.09,830.88,6.3,Medium,2020
Proxima Trading Co.,Russia,Electric,Electric Heater,Air,Gatwick Airport,Manufacturers,6.82,13.41,4753.16,996.81,6.4,Medium,2021
Pinnacle Resources,Peru,Transportation,Headlight,Ship,Eurostar Brussels-London,Warehouses,17.39,2.79,8548.1,291.79,4.5,Low,2020
Frontier Resources,United States,Commercial,Printer,Train,Amtrak Acela Express,Suppliers,14.98,3.02,7384.37,924.64,5.2,Low,2022
Vanguard Resources,Taiwan,Industrial,Industrial Fan,Train,Port of Felixstowe,Suppliers,5.67,26.9,8411.06,482.8,4,Low,2018
Vanguard Supply,China,Commercial,Conference Table,Ship,Shinkansen Tokyo-Osaka,Wholesalers,9.72,11.01,3410.53,437.14,6.6,Medium,2023
Nova Enterprises,Philippines,Transportation,Tire,Train,Eurostar London-Brussels,Suppliers,12.78,25.48,2505.55,923.38,9.4,Low,2018
Ascend Distribution,Sweden,Residential,Television,Truck,Thalys Amsterdam-Cologne,Manufacturers,1.82,40.88,2408.28,586.79,4.6,Low,2021
Horizon Distribution,Chile,Commercial,File Cabinet,Ship,Amsterdam Airport Schiphol,Warehouses,16.98,36,4370.02,960.09,7.9,Low,2023
Celestial Resources,Ireland,Industrial,Hydraulic Pump,Ship,Port of Singapore,Manufacturers,15.85,32.52,3499.96,27.87,6.2,Medium,2021
Eclipse Enterprises,Australia,Transportation,Shock Absorber,Truck,Thalys Paris-Brussels,Retailers,14.3,40.35,2671.42,701.63,5.9,Medium,2018
Horizon Distribution,Chile,Electric,Electric Heater,Train,Hong Kong International Airport,Logistics,6.7,32.92,3991.85,273.67,5.2,Medium,2019
Radiant Traders,Venezuela,Transportation,Headlight,Ship,Interstate 25 (I-25),Manufacturers,18.46,42.42,4157.11,518.51,4.1,High,2023
Horizon Distribution,Chile,Transportation,Alternator,Truck,Eurostar Brussels-London,Suppliers,15.72,24.82,1199.79,38.35,5.5,Medium,2023
Zenith Logistics,Brazil,Transportation,Headlight,Air,Port of Hong Kong,Warehouses,7.34,17.76,2440.31,539.24,7.8,Medium,2018
Summit Procurement,Thailand,Commercial,File Cabinet,Ship,Interstate 35 (I-35),Logistics,13.97,46.8,8633.18,682.55,5.8,Medium,2021
Vertex Industries,Turkey,Commercial,Projector,Ship,Eurostar Brussels-London,Manufacturers,10.93,0.67,223.24,972.55,7.8,Low,2019
Eclipse Distributors,Denmark,Commercial,Office Desk,Ship,Shinkansen Osaka-Kyoto,Logistics,16.66,40.07,5035.32,170.83,7.7,Medium,2021
Aurora Trade Partners,United Kingdom,Industrial,Air Compressor,Truck,Interstate 25 (I-25),Wholesalers,8.43,46.72,9642.86,129.45,2.4,High,2021
Quantum Distributors,Colombia,Electric,Battery Charger,Truck,Haneda Airport,Retailers,18.79,46.62,4698.36,441.59,7,Low,2019
Nova Enterprises,Philippines,Electric,Surge Protector,Ship,Port of New York and New Jersey,Wholesalers,7.53,32.99,2282.53,497.81,6.7,High,2018
Stellar Solutions,South Korea,Industrial,Hydraulic Pump,Air,Port of Tanjung Priok,Manufacturers,2.44,13.31,3311.49,678.97,6.1,Low,2018
Radiant Traders,Venezuela,Residential,Heater,Train,Port of Tanjung Priok,Retailers,10.24,1.16,9140.95,94.92,10.5,Medium,2019
Quantum Distributors,Colombia,Transportation,Headlight,Air,Haneda Airport,Retailers,16.34,47.81,5170.64,804.6,5.3,High,2019
Apex Supply Co.,Canada,Industrial,Lathe,Truck,Port of Hamburg,Manufacturers,14.47,13.88,6203.11,279.15,9,Medium,2020
Ascend Distribution,Sweden,Residential,Lamp,Train,Interstate 85 (I-85),Manufacturers,1.87,4.77,552.19,273.86,9,Medium,2023
Proxima Supply Co.,United Arab Emirates,Transportation,Tire,Truck,Port of Antwerp,Wholesalers,15.55,47.77,7081.31,454.32,4.9,High,2019
Summit Procurement,Thailand,Transportation,Oil Filter,Train,Thalys Amsterdam-Cologne,Wholesalers,5.15,40.8,3251.81,200.13,6.4,Low,2018
Radiant Traders,Venezuela,Electric,Solar Panel,Air,Interstate 75 (I-75),Wholesalers,6.26,31.5,4610.88,731.97,5.4,High,2023
Spectrum Enterprises,France,Transportation,Tire,Train,Interstate 10 (I-10),Retailers,1.67,5.28,4297.48,673.3,7.3,Low,2020
Horizon Distribution,Chile,Industrial,Welding Machine,Ship,Interstate 85 (I-85),Retailers,3.36,34.62,3290.81,873.11,6.9,Medium,2020
Atlas Trading Co.,Singapore,Industrial,CNC Machine,Train,Thalys Amsterdam-Cologne,Logistics,5.47,43.48,9996.6,382.58,7.8,Low,2021
Titan Resource Partners,Kenya,Transportation,Headlight,Truck,Interstate 35 (I-35),Retailers,3.04,30.97,7148.24,968.97,6.9,Low,2019
Vanguard Resources,Taiwan,Transportation,Headlight,Air,Thalys Paris-Brussels,Warehouses,14.84,24.52,2849.83,792.26,7.1,High,2022
Nova Resource Group,Ukraine,Residential,Heater,Truck,Port of Tanjung Priok,Warehouses,4.64,45.7,7589.78,830.28,5.4,Medium,2022
Quantum Distributors,Colombia,Transportation,Headlight,Truck,TGV Paris-Marseille,Suppliers,9.95,39.19,4465.04,382.04,8.2,Low,2021
Nova Trade Solutions,Italy,Residential,Television,Ship,Paris Charles de Gaulle Airport,Retailers,15.33,1.21,2984.23,921.27,9.3,Low,2021
Vanguard Resources,Taiwan,Residential,Heater,Train,Shinkansen Tokyo-Osaka,Wholesalers,13.1,24.68,7832.71,465.73,5.6,High,2023
Pinnacle Trading Co.,Singapore,Electric,Solar Panel,Train,Interstate 95 (I-95),Wholesalers,10.64,46.97,7656.05,853.39,8.8,Medium,2019
Celestial Resources,Ireland,Industrial,Conveyor Belt,Truck,Port of Zeebrugge,Wholesalers,15.74,19.75,1055.64,300.54,3.9,High,2023
Celestial Supply Chain,Chile,Commercial,File Cabinet,Ship,Thalys Paris-Brussels,Wholesalers,8.1,41.9,9197.31,261.5,7.1,Low,2023
Atlas Trading Co.,Singapore,Electric,Wall Socket,Ship,Port of New York and New Jersey,Retailers,16.13,41.78,1645.79,814.52,5.8,Medium,2022
Stellar Solutions,South Korea,Industrial,Hydraulic Pump,Ship,Port of Jebel Ali,Suppliers,7.29,17.89,7825.77,864.53,9.1,Medium,2022
Eclipse Distributors,Denmark,Industrial,Welding Machine,Air,Hamburg Port,Warehouses,3.63,46.55,771.84,281.38,7.8,High,2023
Nova Resource Group,Ukraine,Transportation,Brake Pad,Truck,Frankfurt Airport,Manufacturers,1.51,48.52,4663.04,775.78,8,Medium,2020
Aurora Trade Partners,United Kingdom,Transportation,Radiator,Truck,Interstate 80 (I-80),Logistics,15.77,35.51,2903.78,552.97,5,Low,2018
Nova Enterprises,Philippines,Industrial,Conveyor Belt,Train,Port of Felixstowe,Manufacturers,4.62,17.51,1481.3,57.57,8.4,Low,2018
Atlas Trading Co.,Singapore,Industrial,Industrial Robot,Ship,Port of Santos,Manufacturers,4.85,41.62,1110.28,893.36,7.5,High,2022
Stellar Supply Co.,Malaysia,Commercial,Coffee Maker,Train,Interstate 70 (I-70),Warehouses,9.53,29.28,6127.02,159.18,5.1,High,2023
Stellar Supply Co.,Malaysia,Electric,Electric Heater,Truck,Interstate 80 (I-80),Suppliers,6.18,30.17,6643.59,187.22,3.4,High,2021
Nova Resource Group,Ukraine,Transportation,Shock Absorber,Train,Port of Shanghai,Manufacturers,1.76,23.42,4462.23,965.83,7.1,Low,2022
Spectrum Supplies,Japan,Commercial,File Cabinet,Truck,Frankfurt-Munich,Suppliers,13.79,46.55,4981.68,604.35,9.3,Low,2020
Omega Trading Solutions,Argentina,Transportation,Alternator,Ship,Eurostar Brussels-London,Logistics,6.69,25.28,6785.11,181.14,8.5,Medium,2022
Summit Procurement,Thailand,Commercial,Shredder,Ship,Port of Tanjung Priok,Wholesalers,8.9,39.9,3529.63,404.01,6.2,Low,2022
Orion Trading Co.,Finland,Transportation,Headlight,Truck,Interstate 35 (I-35),Retailers,10.01,20.15,8637.84,354.11,9.5,Medium,2023
Zenith Supply Co.,Switzerland,Transportation,Air Filter,Train,Interstate 95 (I-95),Manufacturers,8.28,14.24,6172.73,551.54,6.2,High,2023
Proxima Supply Co.,United Arab Emirates,Electric,Electric Fan,Train,Interstate 90 (I-90),Wholesalers,8.81,41.7,2946.75,427.67,6.1,Low,2019
Elevation Supply Chain,Portugal,Electric,LED Bulb,Air,London Heathrow Airport,Warehouses,10.28,10.08,7182.89,282.13,6.9,Low,2021
Apex Supply Co.,Canada,Transportation,Oil Filter,Ship,Gatwick Airport,Manufacturers,18.7,34.65,8261.72,649.99,5.7,High,2020
Radiant Traders,Venezuela,Commercial,File Cabinet,Train,Interstate 40 (I-40),Retailers,3.95,38.26,4538.41,26.21,8.1,High,2018
Radiant Traders,Venezuela,Commercial,File Cabinet,Ship,Thalys Amsterdam-Cologne,Wholesalers,1.62,7.9,6019.99,972.52,5.8,Low,2022
Elevate Enterprises,Greece,Commercial,Cubicle Partition,Air,Gatwick Airport,Retailers,6.29,46.15,6347.89,676.39,7.9,Medium,2022
Vanguard Supply,China,Industrial,CNC Machine,Train,Port of Jebel Ali,Wholesalers,18.67,3.13,6361.43,328.1,3,Low,2021
Pinnacle Trading Co.,Singapore,Transportation,Oil Filter,Ship,Port of Zeebrugge,Wholesalers,11.1,8.67,404.61,399.06,6.7,High,2019
Terra Logistics,India,Industrial,Hydraulic Pump,Air,Interstate 5 (I-5),Manufacturers,6.3,31.33,7241.21,257.3,6.8,Medium,2021
Infinity Traders,Norway,Residential,Washing Machine,Air,Gatwick Airport,Suppliers,15.1,11.88,3327.91,702.65,4.4,Medium,2021
Nexus Procurement,Germany,Transportation,Headlight,Train,Interstate 55 (I-55),Logistics,17.25,7.43,9062.43,558.02,6.2,High,2020
Nova Trade Solutions,Italy,Industrial,Hydraulic Pump,Ship,Port of Rotterdam,Warehouses,4.82,2.22,8685.04,75.02,5.7,Low,2022
Radiant Logistics,South Africa,Transportation,Oil Filter,Ship,Port of Hamburg,Suppliers,11.17,10.23,9502,796.36,3.6,Low,2021
Nova Trade Solutions,Italy,Residential,Vacuum Cleaner,Train,Interstate 35 (I-35),Warehouses,18.93,40.08,6920.88,134.24,5,Low,2021
Summit Procurement,Thailand,Industrial,Pneumatic Tool,Train,Paris Charles de Gaulle Airport,Manufacturers,15.98,17.5,1092.43,760.36,5.8,Low,2022
Vertex Supply Partners,Saudi Arabia,Industrial,Conveyor Belt,Truck,Interstate 65 (I-65),Retailers,15.12,46.62,9393.98,839.2,4.4,Low,2022
Spectrum Enterprises,France,Commercial,Office Desk,Train,Port of Valencia,Wholesalers,13.5,35.19,2361.41,402.52,9.4,Low,2019
Apex Supply Co.,Canada,Residential,Sofa,Air,Port of Singapore,Warehouses,17.57,42.27,2503.19,497.12,6.5,High,2020
Celestial Supply Chain,Chile,Commercial,Whiteboard,Air,Eurostar Brussels-London,Wholesalers,13.57,0.54,8527.14,692,7,Low,2018
Infinity Logistics,Malaysia,Residential,Television,Air,Thalys Paris-Brussels,Manufacturers,12.29,33.49,2069.47,825.84,7.5,High,2020
Nova Enterprises,Philippines,Commercial,Projector,Ship,Interstate 75 (I-75),Warehouses,16.5,30.39,6888.99,174.76,6.4,Low,2023
Infinity Traders,Norway,Electric,Smart Plug,Truck,Thalys Amsterdam-Cologne,Logistics,9.1,2.26,3497.31,57.29,7.6,Low,2020
Nexus Procurement,Germany,Industrial,Industrial Robot,Air,Interstate 65 (I-65),Manufacturers,17.61,2.62,9511.09,172.86,4.2,Medium,2023
Vertex Industries,Turkey,Industrial,Forklift,Air,Interstate 5 (I-5),Wholesalers,17.73,44.02,8761.44,731.47,8,Low,2020
Ascend Distribution,Sweden,Commercial,Printer,Air,Hong Kong International Airport,Suppliers,19.8,14.99,6984.91,158.02,5.4,Low,2020
Horizon Distribution,Chile,Transportation,Radiator,Ship,Port of Antwerp,Manufacturers,4.63,25.52,6978.78,233.24,5.3,High,2018
Eclipse Enterprises,Australia,Industrial,Air Compressor,Truck,Amsterdam Airport Schiphol,Warehouses,18.63,2.58,3868.47,699.84,6.9,Medium,2021
Frontier Supply Co.,New Zealand,Commercial,Projector,Ship,Port of Singapore,Warehouses,13.57,2.3,7057.04,703.53,7.4,Low,2020
Proxima Trading Co.,Russia,Commercial,Coffee Maker,Air,LAX Airport,Warehouses,10.43,32.45,268.61,278.67,2.9,Medium,2019
Elevate Enterprises,Greece,Electric,Solar Panel,Ship,Thalys Paris-Brussels,Logistics,19.21,38.72,1550.05,245.27,6.5,Medium,2020
Summit Procurement,Thailand,Commercial,Projector,Ship,LAX Airport,Warehouses,7.57,38.77,7884.11,797.16,3.6,High,2018
Ascend Supply Chain,Bangladesh,Residential,Air Conditioner,Truck,Interstate 40 (I-40),Logistics,18.82,46.12,3459.64,787.52,5,High,2019
Spectrum Supplies,Japan,Industrial,Air Compressor,Truck,Interstate 55 (I-55),Logistics,16.43,13.92,3953.93,88.38,10.4,Low,2021
Spectrum Enterprises,France,Transportation,Tire,Air,Paris Orly Airport,Retailers,11.52,26.12,6526.01,214.94,5.5,Medium,2020
Proxima Supply Co.,United Arab Emirates,Transportation,Air Filter,Air,Port of Hong Kong,Warehouses,19.99,16.54,1314.65,491.2,7.7,Medium,2021
Pinnacle Trading Co.,Singapore,Transportation,Car Battery,Truck,Port of Antwerp,Manufacturers,11.33,31.85,3004.43,234.1,6.6,High,2023
Horizon Supplies,Netherlands,Residential,Washing Machine,Ship,Thalys Amsterdam-Cologne,Wholesalers,10.87,5.02,7090.19,523.36,3.9,Medium,2023
Pinnacle Trading Co.,Singapore,Residential,Television,Air,Shinkansen Osaka-Kyoto,Warehouses,11.97,41.89,2397.9,932.8,5.3,High,2018
Spectrum Trading Solutions,Mexico,Transportation,GPS System,Ship,Schiphol Airport,Retailers,16.58,33.53,2754.36,464.62,4.6,Medium,2019
Zenith Logistics,Brazil,Industrial,Air Compressor,Air,Port of New York and New Jersey,Retailers,12.2,20.99,4064.77,796.54,6.4,High,2023
Nexus Procurement,Germany,Electric,Solar Panel,Ship,Port of Tanjung Priok,Retailers,12.18,17.5,3123.91,602.97,7.1,Low,2018
Proxima Trading Co.,Russia,Commercial,Whiteboard,Truck,Amtrak Acela Express,Wholesalers,19.63,37.72,2415.27,903.45,4,Medium,2021
Orion Trading Co.,Finland,Residential,Refrigerator,Air,Thalys Cologne-Paris,Suppliers,4.91,26.49,1462.58,274.03,9.7,Medium,2019
Aurora Trade Partners,United Kingdom,Industrial,Industrial Fan,Truck,Port of Felixstowe,Wholesalers,17.61,25.63,5593.53,986.63,8.7,Medium,2020
Pinnacle Resources,Peru,Electric,Surge Protector,Train,Shinkansen Tokyo-Osaka,Manufacturers,3.46,48.89,317.5,502.26,6.7,High,2022
Vertex Industries,Turkey,Electric,Extension Cord,Ship,Port of Zeebrugge,Wholesalers,14.75,42.93,1502.53,730.5,5.9,Medium,2020
Celestial Supply Chain,Chile,Industrial,CNC Machine,Air,Thalys Cologne-Paris,Warehouses,9.6,8.67,850.61,104.82,9,Medium,2020
Proxima Trading Co.,Russia,Electric,Solar Panel,Ship,Thalys Cologne-Paris,Manufacturers,10.88,25.22,1440.9,597.45,7,Medium,2023
Spectrum Enterprises,France,Electric,Battery Charger,Air,Tokyo Narita Airport,Retailers,5.85,25.98,5743.63,583.76,6.8,Medium,2020
Pinnacle Trading Co.,Singapore,Transportation,Air Filter,Air,Port of Santos,Manufacturers,2.47,7.66,2490.09,979.81,8.4,High,2020
Quantum Logistics,Indonesia,Transportation,Alternator,Truck,LAX Airport,Logistics,6.49,9.03,575.72,959.13,5.2,High,2023
Nexus Procurement,Germany,Transportation,Air Filter,Truck,Port of Hong Kong,Retailers,8.85,12.4,2095.82,851.53,4.5,Medium,2021
Pinnacle Resources,Peru,Industrial,Conveyor Belt,Air,Amtrak Acela Express,Logistics,15.15,45.08,7774.22,67.8,6.6,High,2023
Omega Trading Solutions,Argentina,Residential,Washing Machine,Train,Interstate 10 (I-10),Manufacturers,6.81,27.01,8682.71,850.94,5.9,Medium,2021
Pinnacle Resources,Peru,Industrial,Industrial Robot,Train,Port of Jebel Ali,Warehouses,7.22,46.78,9954.56,861.88,9.5,High,2021
Frontier Resources,United States,Transportation,Tire,Truck,Interstate 35 (I-35),Wholesalers,17.88,1.12,2249.95,843.96,9.1,Medium,2022
Nova Resource Group,Ukraine,Industrial,Hydraulic Pump,Air,Port of Singapore,Wholesalers,3.73,28.55,5657.5,812.72,8.9,Medium,2020
Radiant Traders,Venezuela,Residential,Vacuum Cleaner,Ship,Interstate 80 (I-80),Logistics,3.41,7.71,3513.66,275.47,5.6,Low,2021
Frontier Resources,United States,Residential,Television,Air,Port of Hamburg,Retailers,6.55,22.54,7058.64,448.31,7.4,Low,2020
Proxima Supply Co.,United Arab Emirates,Electric,Solar Panel,Air,Port of Santos,Suppliers,16.92,7.64,8466.9,889.65,4.7,Low,2023
Horizon Supplies,Netherlands,Residential,Television,Air,Interstate 55 (I-55),Manufacturers,1.4,13.2,126.2,257.84,6.1,High,2023
Omega Trading Solutions,Argentina,Residential,Washing Machine,Truck,Port of Busan,Logistics,16.84,2.44,2908.35,266.93,6.6,Low,2021
Orion Trading Co.,Finland,Transportation,Alternator,Ship,Port of Rotterdam,Suppliers,9.39,9.39,6171.09,451.49,4,Low,2018
Zenith Supply Co.,Switzerland,Industrial,Air Compressor,Train,Dubai Port,Retailers,12.03,5.72,7623.26,84.65,5.5,Low,2021
Pinnacle Resources,Peru,Commercial,Projector,Ship,Paris Charles de Gaulle Airport,Wholesalers,2.91,1.78,4793.2,719.27,4,Medium,2020
Nova Trade Solutions,Italy,Commercial,Printer,Ship,Interstate 85 (I-85),Warehouses,19.15,38.45,570.64,190.11,6.1,Low,2018
Atlas Trading Co.,Singapore,Commercial,Cubicle Partition,Train,Port of Singapore,Retailers,5.04,10.06,6435.1,928.51,5.5,Medium,2023
Spectrum Trading Solutions,Mexico,Industrial,Welding Machine,Ship,Thalys Amsterdam-Cologne,Warehouses,12.38,8.07,2232.9,729.11,4.9,Low,2021
Nova Trade Solutions,Italy,Residential,Television,Air,Thalys Amsterdam-Cologne,Manufacturers,11.35,35.22,7730.09,559.84,7.3,High,2023
Elevation Supply Chain,Portugal,Industrial,Industrial Fan,Air,Eurostar London-Brussels,Wholesalers,1.88,3.43,6921.5,561.33,7.1,High,2023
Frontier Supply Co.,New Zealand,Transportation,Shock Absorber,Truck,Hong Kong International Airport,Warehouses,6.81,16.92,5534.53,238.37,8.5,Medium,2019
Zenith Logistics,Brazil,Industrial,Industrial Robot,Ship,Frankfurt Airport,Wholesalers,4.68,26.09,1043.4,538.27,3.2,Medium,2023
Titan Supply Chain,Egypt,Electric,Smart Plug,Ship,Frankfurt Airport,Manufacturers,13.9,45.81,2830.75,457.58,6.5,Low,2021
Nexus Procurement,Germany,Electric,Power Strip,Truck,Interstate 75 (I-75),Wholesalers,16.81,29.23,2531.64,584.27,6.5,High,2021
Summit Distribution,Poland,Commercial,Whiteboard,Ship,Port of Shanghai,Manufacturers,19.95,11.52,9841.31,834.82,7.7,High,2021
Nova Enterprises,Philippines,Transportation,Air Filter,Train,Eurostar Brussels-London,Logistics,2.48,16.75,7533.25,171.83,7.1,Medium,2020
Zenith Supply Co.,Switzerland,Commercial,Coffee Maker,Ship,Interstate 95 (I-95),Retailers,17.13,36.25,555.16,835.27,5.6,Medium,2019
Celestial Resources,Ireland,Industrial,CNC Machine,Ship,TGV Paris-Marseille,Manufacturers,17.29,9.28,8947.21,730.03,7.8,Low,2022
Titan Supply Chain,Egypt,Transportation,Tire,Truck,Interstate 5 (I-5),Logistics,9.78,41.39,4119.65,989.81,5.9,Medium,2022
Infinity Traders,Norway,Industrial,Welding Machine,Truck,Interstate 75 (I-75),Suppliers,6.94,1.1,8131.12,827.29,8.1,Low,2021
Horizon Distribution,Chile,Residential,Television,Ship,Port of Zeebrugge,Retailers,15.21,13.09,1618.36,543.6,10.2,High,2022
Spectrum Enterprises,France,Transportation,Alternator,Truck,Eurostar London-Paris,Manufacturers,3.22,37.74,9671.75,666.77,6.1,Low,2020
Omega Trading Solutions,Argentina,Industrial,CNC Machine,Train,Shinkansen Tokyo-Osaka,Wholesalers,5.14,34.53,2424.99,259.22,4.7,Low,2022
Radiant Traders,Venezuela,Residential,Television,Ship,Port of Jebel Ali,Retailers,7.8,37.19,7908.04,786.32,6.4,Low,2022
Elevate Enterprises,Greece,Electric,Surge Protector,Train,Amsterdam Airport Schiphol,Logistics,13.48,18.76,9794.48,757.74,5.8,High,2021
Infinity Logistics,Malaysia,Transportation,Headlight,Air,LAX Airport,Wholesalers,17.95,4.43,8969.09,394.08,6.8,Low,2019
Nova Enterprises,Philippines,Electric,Electric Fan,Truck,Interstate 35 (I-35),Manufacturers,13.38,39.93,2481.69,648.16,5.4,Medium,2018
Infinity Logistics,Malaysia,Industrial,Hydraulic Pump,Air,Interstate 10 (I-10),Manufacturers,17.64,23.03,1712.68,538.52,7.8,Low,2023
Pinnacle Trading Co.,Singapore,Electric,Battery Charger,Train,Port of Jebel Ali,Logistics,5.66,17.08,2200.15,169.8,8.1,Low,2022
Nova Resource Group,Ukraine,Industrial,Hydraulic Pump,Ship,Port of Tanjung Priok,Retailers,13.49,40.73,9643.25,225.25,7,High,2021
Horizon Supplies,Netherlands,Commercial,Cubicle Partition,Truck,Dubai Port,Warehouses,18.75,29.5,219.48,623.85,8.8,Low,2018
Pinnacle Resources,Peru,Commercial,Office Desk,Train,Interstate 75 (I-75),Warehouses,14.9,12.47,8202.47,764.97,6.8,Low,2020
Summit Distribution,Poland,Electric,Surge Protector,Air,Hamburg Port,Warehouses,12.44,9.19,6980.09,582.9,6.5,Medium,2023
Vanguard Supply,China,Industrial,Lathe,Train,Port of Long Beach,Manufacturers,13.84,22.81,5088.1,641.71,6.7,Low,2021
Nova Trade Solutions,Italy,Electric,Electric Heater,Air,Interstate 35 (I-35),Logistics,2.2,43.75,8577.68,189.74,8,Medium,2018
Aurora Logistics,Hungary,Industrial,Forklift,Train,Port of Rotterdam,Suppliers,13.38,30.4,8444.44,131.35,5.1,Low,2018
Summit Procurement,Thailand,Electric,Surge Protector,Train,Port of Shanghai,Logistics,13,38.37,9824.04,470.93,6.2,High,2020
Zenith Supply Co.,Switzerland,Commercial,Office Desk,Ship,TGV Paris-Marseille,Warehouses,12.89,17.96,1973.46,275.79,8.4,Medium,2018
Vertex Industries,Turkey,Commercial,Desk Chair,Train,Paris Orly Airport,Warehouses,8.41,28.62,8239.52,808.1,6.8,Medium,2022
Nova Enterprises,Philippines,Commercial,Cubicle Partition,Ship,Hamburg Port,Wholesalers,9.99,16.69,5705.13,156.04,3.2,Medium,2018
